date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,7.2,5.3,8.5,10.1,,,11.1,29.6,1005.3,
2021-01-02 00:00:00,5.7,2.7,9.7,0,,,13.2,31.5,1006.2,
2021-01-03 00:00:00,5.4,1.4,9.7,0,,,14.1,29.6,1010,
2021-01-04 00:00:00,4.9,0.5,11.3,0,,,14.3,29.6,1009.6,
2021-01-05 00:00:00,3.8,0.6,10.1,0,,,13.5,27.8,1010.6,
2021-01-06 00:00:00,3.6,-0.5,10.6,0.7,,,15.9,29.6,1014.3,
2021-01-07 00:00:00,4.7,2.7,7.6,0,,,14.8,31.5,1014.3,
2021-01-08 00:00:00,4.2,1.2,7.4,5.7,,,17.7,35.2,1013.3,
2021-01-09 00:00:00,6.3,2.5,8.2,14.4,,,34.9,77.8,1007.1,
2021-01-10 00:00:00,6.7,4.9,8.1,7.4,,,16.9,63,1010.8,
2021-01-11 00:00:00,4.9,2.3,8.6,0,,,17,33.3,1019.7,
2021-01-12 00:00:00,4.2,1.8,9.1,0,,,21.3,37,1024.8,
2021-01-13 00:00:00,6.6,3.3,11.3,0,,,20.7,33.3,1026,
2021-01-14 00:00:00,6.7,4.6,10.5,0,,,22.5,35.2,1023.4,
2021-01-15 00:00:00,6.8,4.1,12.9,0,,,17.2,33.3,1021,
2021-01-16 00:00:00,6.8,2.9,13.5,0,,,14,27.8,1024.5,
2021-01-17 00:00:00,8.7,4.7,15.4,0,,,12,33.3,1023,
2021-01-18 00:00:00,9.2,6.3,12.8,0.4,,,9.7,25.9,1026.9,
2021-01-19 00:00:00,8.6,3.7,14.5,0,,,13.7,37,1024.5,
2021-01-20 00:00:00,10.1,7.8,14,0,,,14,35.2,1014.6,
2021-01-21 00:00:00,11.3,6.4,15.3,0.5,,,16.3,50,1010.3,
2021-01-22 00:00:00,12.8,8.9,16.7,4.5,,,28.6,68.5,1003.4,
2021-01-23 00:00:00,11.8,7.1,16.3,0,,,19.6,64.8,1008,
2021-01-24 00:00:00,13.1,9.3,17.2,0,,,18.6,55.5,1005.3,
2021-01-25 00:00:00,11.9,9.5,14.9,0,,,18.4,40.8,1009.5,
2021-01-26 00:00:00,10.4,8,13.3,0,,,11.7,29.6,1021.3,
2021-01-27 00:00:00,10.1,5.8,16.9,0,,,11.2,27.8,1020.5,
2021-01-28 00:00:00,11.9,7.5,18.5,0,,,6.3,24.1,1019.6,
2021-01-29 00:00:00,14.7,9.2,21.3,0,,,13.4,37,1015.4,
2021-01-30 00:00:00,13.9,9.2,20,,,,15.5,57.4,1006.7,
2021-01-31 00:00:00,14.3,11.1,18.7,0.3,,,24.3,53.7,1003.4,
2021-02-01 00:00:00,16.4,12.3,20.9,0,,,17,61.1,1004.4,
2021-02-02 00:00:00,14.7,11.2,18.5,0,,,14.1,33.3,1013.3,
2021-02-03 00:00:00,13.4,9.7,18.2,0,,,12.8,44.5,1012.4,
2021-02-04 00:00:00,11.8,9.9,14.5,0,,,9.1,20.4,1013.4,
2021-02-05 00:00:00,13,11.5,15.7,0,,,18.1,37,1010.7,
2021-02-06 00:00:00,13.9,11.7,16.2,0.4,,,20.8,40.8,1002,
2021-02-07 00:00:00,11.1,7.9,14.1,0,,,12.6,27.8,1002.9,
2021-02-08 00:00:00,11.5,9.2,15.1,1,,,18.4,50,1000.3,
2021-02-09 00:00:00,12,8,15.5,0.1,,,20,50,1003.4,
2021-02-10 00:00:00,11.2,10.3,16.1,0.1,,,18.1,38.9,1005.5,
2021-02-11 00:00:00,11.3,6.9,15.6,0,,,13.6,29.6,1016.7,
2021-02-12 00:00:00,11.8,9,17,,,,10.4,25.9,1015.1,
2021-02-13 00:00:00,13.5,7.5,15.7,0,,,10.8,27.8,1022.3,
2021-02-14 00:00:00,9.8,8.2,13,0.4,,,20.4,35.2,1033.4,
2021-02-15 00:00:00,9.5,8.1,12.1,1.1,,,8.3,29.6,1035.8,
2021-02-16 00:00:00,12.2,9,15.1,0,,,25,51.8,1027.8,
2021-02-17 00:00:00,11.1,8.5,16.5,0,,,16.2,29.6,1023.8,
2021-02-18 00:00:00,11,8.4,14.6,0,,,10.4,27.8,1019.9,
2021-02-19 00:00:00,9.5,8.1,13.3,0,,,13.2,33.3,1020.6,
2021-02-20 00:00:00,12.1,8.4,14.9,0,,,7.6,20.4,1020.3,
2021-02-21 00:00:00,13.3,10,14.8,0,,,38.3,70.4,1014.9,
2021-02-22 00:00:00,13.2,11.7,14.9,9.1,,,17.2,63,1017.7,
2021-02-23 00:00:00,14.2,12.9,18.5,0,,,13.9,24.1,1032.9,
2021-02-24 00:00:00,13.7,10.5,17,0,,,8.6,18.5,1034.9,
2021-02-25 00:00:00,12.4,10.1,16.5,0,,,12.8,29.6,1031.5,
2021-02-26 00:00:00,12.3,8.8,15.7,0,,,9.9,20.4,1030.4,
2021-02-27 00:00:00,11.7,8.1,15.7,0,,,14.6,31.5,1025.9,
2021-02-28 00:00:00,12.3,9.6,15.9,0,,,18.5,35.2,1025.4,
2021-03-01 00:00:00,13.4,12.5,15.6,0,,,22.1,40.8,1026.2,
2021-03-02 00:00:00,13.4,12.5,15.3,0,,,26.8,44.5,1028.9,
2021-03-03 00:00:00,12.7,10.9,15.4,0,,,11.7,22.2,1030.3,
2021-03-04 00:00:00,12.3,10,16,0,,,8.8,22.2,1023.8,
2021-03-05 00:00:00,11.4,9.1,14.6,0,,,9.7,22.2,1018.8,
2021-03-06 00:00:00,12.3,10,14.4,0,,,14.1,29.6,1022.6,
2021-03-07 00:00:00,12.2,10.5,14.2,0.7,,,12.5,25.9,1020.2,
2021-03-08 00:00:00,11.8,9.4,13.5,0,,,11.6,29.6,1015.1,
2021-03-09 00:00:00,10.9,8,15,0,,,13.4,33.3,1016.8,
2021-03-10 00:00:00,10.8,6.5,15.3,0,,,18.1,35.2,1021.4,
