date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,4.9,0.2,9.8,0,,,9.2,24.1,1004.8,
2021-01-02 00:00:00,1.9,-2,7.3,0,,,5.2,16.7,1005.6,
2021-01-03 00:00:00,2.3,-3.7,9.1,0,,,4.4,14.8,1009.6,
2021-01-04 00:00:00,0.9,-4.9,10,0,,,3.5,14.8,1008.9,
2021-01-05 00:00:00,2.5,-1.7,9.2,0,,,7.5,20.4,1009.8,
2021-01-06 00:00:00,2.3,-3,9.1,0,,,5.4,20.4,1013.9,
2021-01-07 00:00:00,3.2,0.5,6.9,0,,,9.8,22.2,1014.1,
2021-01-08 00:00:00,2.3,-3.7,8.3,2.9,,,11.3,31.5,1013,
2021-01-09 00:00:00,3.4,1.2,4.4,16.8,,,24.8,46.3,1009.6,
2021-01-10 00:00:00,4.2,2.7,7.1,0,,,24.6,48.2,1011.9,
2021-01-11 00:00:00,3.4,-2.4,10.4,0,,,7.3,24.1,1018.6,
2021-01-12 00:00:00,1.7,-4.7,11,0,,,2.4,13,1023.7,
2021-01-13 00:00:00,4.6,-3.2,16.7,0,,,3.7,11.1,1024.8,
2021-01-14 00:00:00,3.5,-2.9,14.2,0.8,,,3.3,14.8,1022.4,
2021-01-15 00:00:00,4.3,-2.6,14.4,0,,,4.9,20.4,1020.3,
2021-01-16 00:00:00,5.3,-2.6,14.6,0,,,3,16.7,1023.6,
2021-01-17 00:00:00,6.3,-1.3,17.1,0,,,5,16.7,1022.4,
2021-01-18 00:00:00,4.8,-0.1,13.8,0,,,3.8,14.8,1026.4,
2021-01-19 00:00:00,5.2,-3,15.8,0,,,7.6,31.5,1023,
2021-01-20 00:00:00,9.2,3.9,13.5,0,,,22.4,50,1012.6,
2021-01-21 00:00:00,11.8,5,17.3,0,,,15.1,42.6,1007.5,
2021-01-22 00:00:00,10.3,2.1,14.4,1.6,,,10.6,42.6,1000.6,
2021-01-23 00:00:00,7.4,-1.2,15,0,,,12.6,42.6,1005.2,
2021-01-24 00:00:00,9.1,3,14.4,0,,,12.1,29.6,1003.7,
2021-01-25 00:00:00,6.4,1,13,0,,,11.8,35.2,1008.7,
2021-01-26 00:00:00,6.4,1.3,12.8,0,,,10.1,27.8,1020.7,
2021-01-27 00:00:00,7.1,0.1,16.6,0,,,3.7,13,1019.8,
2021-01-28 00:00:00,9.4,3.9,18.7,0,,,3.7,14.8,1018.9,
2021-01-29 00:00:00,10.6,4.1,20.5,0,,,4.3,18.5,1015,
2021-01-30 00:00:00,9.1,4.4,17.7,5,,,7.9,27.8,1005.5,
2021-01-31 00:00:00,8.9,3.2,18.8,0,,,4.2,14.8,1002.1,
2021-02-01 00:00:00,10.1,3.7,19.4,0,,,6.7,16.7,1003.7,
2021-02-02 00:00:00,9.7,3.4,19.5,0,,,4.9,20.4,1012.5,
2021-02-03 00:00:00,11.8,5.6,22.8,0,,,4.9,25.9,1010.5,
2021-02-04 00:00:00,9.8,4.5,18.7,0,,,5.1,16.7,1012.7,
2021-02-05 00:00:00,11.3,9.4,16,0,,,8.8,27.8,1010.7,
2021-02-06 00:00:00,12.3,7.4,18.6,9.7,,,12.5,33.3,1001.7,
2021-02-07 00:00:00,7.2,4.1,10.4,5.1,,,8,22.2,1002.3,
2021-02-08 00:00:00,6.2,2.5,11,2.2,,,4.1,16.7,999,
2021-02-09 00:00:00,7.8,1.8,13.8,0,,,9.1,38.9,1001.4,
2021-02-10 00:00:00,8.6,5,15.9,0,,,8,29.6,1004.3,
2021-02-11 00:00:00,8.3,2.8,17,,,,3.8,20.4,1016.3,
2021-02-12 00:00:00,7.8,2.9,14.8,2,,,7,22.2,1015.1,
2021-02-13 00:00:00,11.2,4.1,16.6,1.5,,,7.4,24.1,1021.6,
2021-02-14 00:00:00,7.2,6,9.5,,,,7.8,22.2,1033.4,
2021-02-15 00:00:00,7.9,6,10.7,,,,14.3,40.8,1034.4,
2021-02-16 00:00:00,10.8,6.4,18,0,,,18.1,38.9,1024.9,
2021-02-17 00:00:00,9.4,3.1,18.3,0,,,7.1,35.2,1022.5,
2021-02-18 00:00:00,9.7,5.7,15.9,0,,,13.2,38.9,1018.3,
2021-02-19 00:00:00,9.3,6.7,15.4,0,,,8.4,33.3,1019.6,
2021-02-20 00:00:00,9.9,5.6,15.3,0,,,15.7,44.5,1019.4,
2021-02-21 00:00:00,11,6.3,14.9,2.5,,,13.3,38.9,1016.9,
2021-02-22 00:00:00,12.8,11.6,14.3,0.7,,,10.7,33.3,1018,
2021-02-23 00:00:00,13.2,10.9,19.4,0,,,7.7,25.9,1032.3,
2021-02-24 00:00:00,12.1,6.7,19.5,,,,12.6,37,1033.6,
2021-02-25 00:00:00,9.9,2.2,16.9,0,,,11.6,35.2,1030.4,
2021-02-26 00:00:00,11.9,5.8,18.5,0,,,4.6,18.5,1029.3,
2021-02-27 00:00:00,9.7,3,18.8,0,,,4.8,20.4,1025.1,
2021-02-28 00:00:00,9.6,3.8,16,0,,,10.5,31.5,1025.2,
2021-03-01 00:00:00,10.4,7.7,15.1,0,,,10,31.5,1026.3,
2021-03-02 00:00:00,10.8,7.4,14.4,0,,,11.4,27.8,1029.2,
2021-03-03 00:00:00,10.8,8.3,16,0,,,4.5,20.4,1029.6,
2021-03-04 00:00:00,10.6,6.6,15.6,0,,,10.7,29.6,1022.5,
2021-03-05 00:00:00,10.3,6.1,16.5,3.5,,,3.8,20.4,1017.8,
2021-03-06 00:00:00,10.6,7.3,13.8,0,,,9,27.8,1022.1,
2021-03-07 00:00:00,10.2,5.9,14.9,0.1,,,4.2,20.4,1019.7,
2021-03-08 00:00:00,10.1,4.1,14.2,0.4,,,12.9,31.5,1014.3,
2021-03-09 00:00:00,8,1.4,16.3,0.2,,,7.5,33.3,1016,
2021-03-10 00:00:00,7.7,1,16.4,0,,,7.2,35.2,1020.4,
2021-03-11 00:00:00,9.9,1.5,20.1,0,,,5.8,27.8,1019.9,
2021-03-12 00:00:00,9,4.9,11.4,2.7,,,6.9,18.5,1019.7,
2021-03-13 00:00:00,8.6,2.2,17.6,0,,,5.5,25.9,1020,
2021-03-14 00:00:00,8.5,2.5,16,0,,,6.8,29.6,1020.1,
2021-03-15 00:00:00,8.3,1.4,16.8,0,,,6.2,22.2,1022.5,
2021-03-16 00:00:00,9.3,1.2,18.7,0,,,4.6,27.8,1023.2,
