date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,5.5,1.9,9.7,0,,,7.4,20.4,1007.4,
2021-01-02 00:00:00,3.2,-1.8,9.1,0,,,10.2,20.4,1008.7,
2021-01-03 00:00:00,3.4,-2.3,9.8,0,,,8.7,20.4,1011.9,
2021-01-04 00:00:00,2.4,-2,8.2,0,,,6.6,22.2,1012.8,
2021-01-05 00:00:00,0,-3.1,4.3,0,,,7,14.8,1012.2,
2021-01-06 00:00:00,-2.2,-5.6,2.7,0,,,5.4,13,1016.4,
2021-01-07 00:00:00,-1.6,-4.1,0.6,0,,,5.3,13,1016.6,
2021-01-08 00:00:00,-0.4,-4,2.1,6.9,,,4.8,11.1,1015.6,
2021-01-09 00:00:00,0.5,-0.4,2,26.1,,,6.2,18.5,1010.1,
2021-01-10 00:00:00,0.7,0.1,2.1,9.4,,,8,20.4,1013.8,
2021-01-11 00:00:00,-0.2,-4.2,3.7,0,,,6.8,14.8,1022.3,
2021-01-12 00:00:00,-1.4,-5.9,5.5,0,,,5.3,14.8,1028.4,
2021-01-13 00:00:00,-0.1,-3.9,5.9,0,,,5.2,13,1029.3,
2021-01-14 00:00:00,1.9,-1.2,8.7,0,,,5.6,14.8,1026.6,
2021-01-15 00:00:00,4.1,-0.2,10.6,0,,,6.2,18.5,1023.6,
2021-01-16 00:00:00,3.4,-2.9,10.7,0,,,5.9,18.5,1026.5,
2021-01-17 00:00:00,5.2,-1.8,16.1,0.2,,,6.8,25.9,1025.8,
2021-01-18 00:00:00,4.1,0.4,9.5,0.1,,,5.6,14.8,1028.2,
2021-01-19 00:00:00,1.7,-1.9,8.6,0.1,,,4.5,13,1026,
2021-01-20 00:00:00,3.3,-0.7,7.4,0.4,,,5.5,14.8,1015.1,
2021-01-21 00:00:00,5.2,2,8.9,1.9,,,5,16.7,1012.1,
2021-01-22 00:00:00,8.8,6.5,12.4,2,,,20.8,64.8,1005.3,
2021-01-23 00:00:00,6.8,1.4,12.4,2.6,,,12.9,37,1009.8,
2021-01-24 00:00:00,9.4,5.5,13.8,,,,20.2,59.3,1007.7,
2021-01-25 00:00:00,8,5.2,11.1,2.6,,,9.3,22.2,1010.8,
2021-01-26 00:00:00,6.6,2,11.3,0,,,5.4,18.5,1022,
2021-01-27 00:00:00,8.8,2.5,18.8,0,,,5.9,18.5,1021.6,
2021-01-28 00:00:00,11.1,4.3,20.6,0,,,5.4,16.7,1021.5,
2021-01-29 00:00:00,13.4,7.7,20.5,0,,,11.4,37,1017.5,
2021-01-30 00:00:00,10.4,7,16.5,0.6,,,16,51.8,1008.8,
2021-01-31 00:00:00,11.4,7.8,16.4,0,,,26.1,57.4,1005.7,
2021-02-01 00:00:00,13.8,9.4,18.4,0,,,28.7,64.8,1007.1,
2021-02-02 00:00:00,13.2,7.6,20.1,0,,,8.2,31.5,1014.4,
2021-02-03 00:00:00,10.8,3.9,18.5,0,,,6.2,20.4,1014.2,
2021-02-04 00:00:00,12.3,6.9,19.2,0,,,7.4,18.5,1012.9,
2021-02-05 00:00:00,12.4,7.1,18,0,,,8.8,22.2,1010.7,
2021-02-06 00:00:00,12.3,7.3,17.9,0.4,,,9,24.1,1002.2,
2021-02-07 00:00:00,8.7,4.5,13.5,,,,14.2,33.3,1004.2,
2021-02-08 00:00:00,7.4,4.5,11.8,3.8,,,6.9,24.1,1001.5,
2021-02-09 00:00:00,7.1,4.4,9.4,6.8,,,7.8,22.2,1004.3,
2021-02-10 00:00:00,7.1,5.1,14.3,1.2,,,13.7,44.5,1007.1,
2021-02-11 00:00:00,8.2,1.3,17.7,0,,,5.4,18.5,1018.1,
2021-02-12 00:00:00,9.4,6.5,13,5.6,,,9.5,29.6,1016.8,
2021-02-13 00:00:00,11.8,5.7,16,0,,,9,27.8,1023,
2021-02-14 00:00:00,7.6,4.8,11,0,,,8.6,18.5,1032.2,
2021-02-15 00:00:00,9,6.1,11.9,0,,,7.7,16.7,1035.1,
2021-02-16 00:00:00,11.4,8.7,16.7,0,,,5,14.8,1028.3,
2021-02-17 00:00:00,11.5,6.8,18.5,0.1,,,4.8,14.8,1023.5,
2021-02-18 00:00:00,10.4,4.1,18.2,0.1,,,5.9,14.8,1019.3,
2021-02-19 00:00:00,6.3,3.8,19.2,0,,,4.9,16.7,1020.2,
2021-02-20 00:00:00,14.2,3.3,21.2,0,,,8.6,22.2,1018.6,
2021-02-21 00:00:00,12.6,8.6,15.7,,,,17.3,33.3,1012.8,
2021-02-22 00:00:00,11.6,8.6,14,1.6,,,12.1,29.6,1016,
2021-02-23 00:00:00,11.5,7.8,16.8,0,,,4.7,13,1033,
2021-02-24 00:00:00,11.6,7.3,17.9,0,,,6.5,14.8,1034.4,
2021-02-25 00:00:00,11.1,6.1,17.4,0,,,6.9,14.8,1031.4,
2021-02-26 00:00:00,8.4,4.4,13.2,,,,4.7,14.8,1031.2,
2021-02-27 00:00:00,9.3,7.1,14.2,,,,5.9,18.5,1026.8,
2021-02-28 00:00:00,10.8,6.9,15.1,0,,,7.6,18.5,1025.1,
2021-03-01 00:00:00,10.7,6.1,14.9,0,,,9.4,20.4,1026.1,
2021-03-02 00:00:00,11.1,8.6,15.2,0,,,7.1,18.5,1029,
2021-03-03 00:00:00,11.1,7,15.5,0,,,4.9,16.7,1030.3,
2021-03-04 00:00:00,11.3,6.2,16.7,0,,,5.5,16.7,1021.7,
2021-03-05 00:00:00,10.1,5.1,16.2,0,,,5.9,18.5,1019.3,
2021-03-06 00:00:00,10.2,5.9,15.4,0,,,5.6,20.4,1022.6,
2021-03-07 00:00:00,11.2,7.3,17,,,,6.3,16.7,1020.4,
