date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,7.1,2.5,11.6,0.4,,,8.8,29.6,1005.9,
2021-01-02 00:00:00,6.9,3,10.7,0,,,24.7,37,1006.2,
2021-01-03 00:00:00,6.5,1.9,11.2,0,,,21.7,37,1010.1,
2021-01-04 00:00:00,5.5,-1,10.8,0,,,14.5,37,1009.9,
2021-01-05 00:00:00,3.1,-2.2,10.3,0,,,8.9,29.6,1010.9,
2021-01-06 00:00:00,2,-5.1,10.6,0,,,7.3,20.4,1014.5,
2021-01-07 00:00:00,3.6,-0.1,7.3,0,,,8.5,25.9,1014.2,
2021-01-08 00:00:00,2.7,-3,6.4,7.8,,,5.1,27.8,1013.4,
2021-01-09 00:00:00,5.1,2.1,5.9,22.7,,,16.4,38.9,1007.2,
2021-01-10 00:00:00,4.8,3.2,5.7,3.9,,,8.8,37,1011.6,
2021-01-11 00:00:00,2.9,-2.9,7,0,,,17.2,35.2,1020.1,
2021-01-12 00:00:00,1.8,-3.5,8.4,0,,,14.4,40.8,1025.2,
2021-01-13 00:00:00,4.6,-0.8,13.2,0,,,12.5,33.3,1026.2,
2021-01-14 00:00:00,4.9,-1.3,12.8,0,,,12.1,29.6,1023.4,
2021-01-15 00:00:00,9.9,2.4,14.2,0,,,24.5,46.3,1020.8,
2021-01-16 00:00:00,7.1,-1.1,13.4,0,,,15.3,35.2,1024.6,
2021-01-17 00:00:00,11.3,1.3,19.1,0,,,12,53.7,1023,
2021-01-18 00:00:00,8.8,3.3,15.9,0,,,11,25.9,1026.9,
2021-01-19 00:00:00,8.4,1,15.3,0,,,8.9,22.2,1024.7,
2021-01-20 00:00:00,9.1,5.8,13.3,0,,,8.6,16.7,1014.5,
2021-01-21 00:00:00,10.2,2.7,17.7,0,,,10.3,33.3,1010.8,
2021-01-22 00:00:00,11.3,6.5,15.1,4.6,,,22.4,77.8,1004.1,
2021-01-23 00:00:00,11.2,7,16.3,0.2,,,23.9,57.4,1008.7,
2021-01-24 00:00:00,11.9,6.5,16.6,0,,,29.6,83.3,1005.7,
2021-01-25 00:00:00,11.3,8.4,14,0,,,15.1,37,1010.1,
2021-01-26 00:00:00,9.4,2.5,15.5,0,,,13.1,29.6,1021.3,
2021-01-27 00:00:00,11.2,4.6,21.5,0,,,9.9,31.5,1020.1,
2021-01-28 00:00:00,18,9.2,24.7,0,,,18.3,37,1019,
2021-01-29 00:00:00,18.4,14.1,22.2,0,,,22.8,51.8,1016,
2021-01-30 00:00:00,15.1,9.3,19.7,0,,,20.5,63,1007.4,
2021-01-31 00:00:00,15.1,10.5,18.2,0,,,30.9,70.4,1004.4,
2021-02-01 00:00:00,17.9,14.3,19.9,0,,,46.3,92.6,1004,
2021-02-02 00:00:00,15.8,8.1,21.8,0,,,18.5,53.7,1013.5,
2021-02-03 00:00:00,12.9,6.5,22.2,0,,,7.4,29.6,1012.8,
2021-02-04 00:00:00,11.3,6.9,16.1,0,,,7.8,14.8,1013.2,
2021-02-05 00:00:00,12.1,8.9,16.3,0,,,8.1,24.1,1010.1,
2021-02-06 00:00:00,14.3,9.7,18.3,0,,,13.7,27.8,1001.7,
2021-02-07 00:00:00,10.7,7.4,14.3,0,,,23.6,44.5,1003.2,
2021-02-08 00:00:00,10.5,7.4,15.8,2.4,,,12.1,40.8,1000.8,
2021-02-09 00:00:00,11.2,8.3,14.2,0.9,,,12,37,1004,
2021-02-10 00:00:00,9.7,6.1,16,0.6,,,16.6,50,1006.2,
2021-02-11 00:00:00,11.8,5.6,19.9,0,,,11.2,29.6,1016.5,
2021-02-12 00:00:00,12.8,7.5,17.6,0,,,11.8,40.8,1015.1,
2021-02-13 00:00:00,14.5,6.3,19.4,0,,,12.1,37,1021.7,
2021-02-14 00:00:00,9.6,7.4,11.6,0.9,,,13.3,24.1,1033,
2021-02-15 00:00:00,9.4,7.6,11,0,,,6,20.4,1035.7,
2021-02-16 00:00:00,10.9,6.3,15.3,0,,,10,27.8,1028.2,
2021-02-17 00:00:00,10.8,6.3,16.2,0,,,8.9,18.5,1023.9,
2021-02-18 00:00:00,10.9,6.4,15.7,0,,,6.5,18.5,1020,
2021-02-19 00:00:00,7.4,3.9,14.2,0,,,6.5,20.4,1020.8,
2021-02-20 00:00:00,10.2,5.6,15.2,0,,,7.3,18.5,1020,
2021-02-21 00:00:00,12.8,5.7,16.3,1.3,,,24,51.8,1013.5,
2021-02-22 00:00:00,13.2,8.5,16,5.2,,,13.3,42.6,1016.7,
2021-02-23 00:00:00,12.9,6.4,18.6,0,,,6.8,18.5,1032.8,
2021-02-24 00:00:00,13.5,9.2,18.2,0,,,7.8,18.5,1034.7,
2021-02-25 00:00:00,11.9,7.5,17.1,0,,,7.5,16.7,1031.5,
2021-02-26 00:00:00,10.8,6.2,15,0,,,8.6,16.7,1030.6,
2021-02-27 00:00:00,11.4,5,18.8,0,,,9.1,25.9,1025.9,
2021-02-28 00:00:00,12.1,9.4,15.3,0,,,11.6,22.2,1025.2,
2021-03-01 00:00:00,12.8,10.8,16.2,0,,,16.2,27.8,1025.9,
2021-03-02 00:00:00,12.8,8.8,15,0,,,12.6,27.8,1028.7,
2021-03-03 00:00:00,11.9,7.5,16.9,0,,,7.7,16.7,1030.2,
2021-03-04 00:00:00,11.1,7.4,16.2,0,,,8.2,20.4,1023.8,
2021-03-05 00:00:00,10.6,5.6,16.4,0,,,7.1,20.4,1018.7,
2021-03-06 00:00:00,10.7,6,15.9,0,,,11.8,22.2,1022.6,
2021-03-07 00:00:00,11.4,8.3,16,0,,,7.1,18.5,1020.2,
2021-03-08 00:00:00,10.9,8.3,13,8.2,,,7.9,18.5,1015.4,
2021-03-09 00:00:00,11.1,6.9,16.5,0,,,19.2,38.9,1016.9,
2021-03-10 00:00:00,9.3,1.6,17.6,0,,,11.7,29.6,1021.7,
2021-03-11 00:00:00,10.8,3.4,18.7,0,,,9.2,27.8,1021.9,
2021-03-12 00:00:00,13.4,8.9,18,0,,,13.1,22.2,1020.2,
2021-03-13 00:00:00,11.2,4.1,18.9,0,,,12.5,37,1021.4,
2021-03-14 00:00:00,13.8,8.7,19.5,0,,,20.6,46.3,1020.6,
2021-03-15 00:00:00,12.7,4.9,19.3,0,,,24.2,40.8,1023,
2021-03-16 00:00:00,12,6.4,21.2,0,,,14.2,29.6,1024,
2021-03-17 00:00:00,13.4,7.4,23.9,0,,,18.8,46.3,1021.1,
2021-03-18 00:00:00,11.6,5.7,17.9,0,,,16.9,29.6,1017.9,
2021-03-19 00:00:00,8,2.7,13,0.7,,,11.3,22.2,1013.5,
2021-03-20 00:00:00,8.5,1.8,15.8,0,,,12.5,31.5,1016.7,
